#Data File for N =  3-th root of A =  3.000000 
#1/tolerance           Bisection Count            Newton Count 
  1.00000000000000000000e+01                  1                2  
  9.99999999999999857891e+01                  8                3  
  9.99999999999999772626e+02                  8                3  
  9.99999999999999636202e+03                 14                4  
  9.99999999999999563443e+04                 17                4  
  9.99999999999999650754e+05                 20                4  
  9.99999999999999441206e+06                 22                5  
  9.99999999999999552965e+07                 28                5  
  9.99999999999999523163e+08                 28                5  
  9.99999999999999427795e+09                 33                5  
  9.99999999999999389648e+10                 35                5  
  9.99999999999999389648e+11                 40                5  
  9.99999999999999414062e+12                 44                5  
  9.99999999999999218750e+13                 44                6  
  9.99999999999999125000e+14                 50                6  
